P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_UPDATE,P_MASS,P_MASS_ORIGIN,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,S_NAME,S_NAME_HD,S_NAME_HIP,S_TYPE,S_RA,S_DEC,S_RA_STR,S_DEC_STR,S_MAG,S_DISTANCE,S_TEMPERATURE,S_MASS,S_RADIUS,S_METALLICITY,S_AGE,S_LOG_LUM,S_LOG_G,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,S_TYPE_TEMP,S_RA_TXT,S_DEC_TXT,S_LUMINOSITY,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG,ESI,Gravitational_Retention,Habitability_Score
3547,9,27,0.4761904761904674,89,0.00403968848939758,1,0.12101672740865338,8.412591488565711e-05,0.0016526039954032187,0.0,0.527300710288559,0.5892740165162549,2661,705,718,293,0.8155248560322343,0.7317453834543288,3127,787,0.743291576041622,0.3301988302740351,0.4283205619412516,0.4666666666666667,0.10143198090692124,0.5454545454545454,0.029724318496842754,0.518655097613883,0.6651583710407238,0.12100390070210164,0.018269571581831418,0.04576647516037819,0.022497897103177084,0.00021032874692682193,0.001652536985176506,0.0016548376644794941,0.001650370316331825,0.0016525872233873438,0.0013955351073957848,0.18981233084635935,0.19671320286423577,2,4,3127,787,0.006015086750155433,0.07312191139349111,0.0017152741658320618,0.2833885879061367,0.0,0.0,1,0.0,30,30,75,0.596566495409947,1.2121125580194998,0.2386265981639788
4504,9,27,0.6190476190476204,106,0.001234789643318331,0,0.08410428931875524,1.797358667622849e-05,0.000537308170813149,0.0,0.5739878549027941,0.5246005958395763,3254,705,718,293,0.7842786164600731,0.7516480348676466,1822,1347,0.711786000236912,0.3096331734746414,0.41538952745849306,0.4095238095238095,0.09427207637231502,0.5541125541125541,0.3593100261820422,0.5466377440347072,0.6651583710407238,0.07244730764005243,0.007540520891451174,0.02618289553865212,0.017908297412634798,4.7704481116491084e-05,0.0005372410857264966,0.0005395443352150038,0.0005350719964050104,0.0005372913800605506,0.016245450979909128,0.3542488561173274,0.3622213053459613,4,4,1822,1347,0.008103956925155842,0.08562684981526875,0.001434590590705375,0.6199546544569343,0.0,0.0,1,0.0,51,51,49,0.536043285478343,1.3571836119416847,0.21441731419133722
1584,9,21,0.7142857142857082,120,0.002966509800462911,0,0.14998598261844687,4.843101906982303e-06,0.00020932983941774106,0.19192307692307692,0.5251176838024587,0.6244555559427157,1177,705,718,293,0.035788369878516815,0.5613555454716774,74,188,0.6740165205812654,0.11559142895158536,0.3135376756066412,0.3666666666666667,0.07637231503579951,0.7705627705627706,0.5501309102109964,0.4242950108459871,0.7104072398190042,0.09023990519572224,0.010943266087858826,0.02237893733969956,0.009138425170964954,2.6968569599748874e-05,0.00020926273231680536,0.00021156673762734603,0.00020709293119856872,0.0002093130431551791,0.024066070730892654,0.391263670534385,0.39807243206939646,2,5,74,188,0.0021937031243314782,0.04235306861517403,0.0004581078662835453,0.5826594466057271,0.0,0.0,1,0.0,65,66,26,0.4278232466768533,1.8907498615271234,0.17112929867074134
4015,9,27,0.6190476190476204,106,0.001195764963720707,0,0.08223530511167179,2.91835633215458e-05,0.0007347731610331233,0.0,0.5406628930574606,0.6327894700163769,2872,705,718,293,0.8002269395126569,0.7510179557226496,2372,1322,0.6412085489263607,0.10520302439532339,0.34227330779054926,0.3571428571428571,0.07279236276849642,0.4935064935064935,0.1598644694286154,0.45726681127982655,0.7194570135746607,0.0718753631847581,0.007441284490909859,0.026356879826587305,0.018376348208674797,6.72199018158504e-05,0.0007347060892005483,0.0007370088836334129,0.000732537428428527,0.0007347563735978932,0.0034846115906576724,0.23970874019769645,0.23110588766892456,4,5,2372,1322,0.003123277822872932,0.051404982321701646,0.0006226123034854754,0.44666721966877104,0.0,0.0,1,0.0,51,51,49,0.6221959748194404,1.3399606743322432,0.2488783899277762
5003,9,59,0.857142857142847,235,0.0032104140479480626,1,0.11447528268386131,1.9587023891230852e-05,0.0005195108970164989,0.0,0.544204676441989,0.2460887138924701,3679,705,718,199,0.43612114708418265,0.8874702268906244,859,2811,0.5225664888586237,0.02033648422721146,0.18055555555555564,0.2666666666666667,0.058472553699284,0.44155844155844154,0.5148621592484214,0.34511930585683304,0.7149321266968327,0.10908829945408634,0.015214995999987975,0.040068311819159805,0.020738512344849313,7.330696273237187e-05,0.0005194438107352729,0.0005217471012373791,0.000517274682789157,0.0005194941059649103,0.0020373252486998866,0.2090695889703113,0.19068338318860106,2,5,859,2811,0.0009326698841030628,0.026113429986319762,9.300759608024709e-05,0.554719731325958,0.0,0.0,1,0.0,82,82,6,0.5887983728824786,1.262050293242981,0.23551934915299144
669,8,17,0.0952380952380878,89,0.10309259366215791,3,0.6209700028034763,1.0534134530775e-05,0.00041187976500818677,0.032115384615384615,0.4954568578585734,0.7186661556151782,510,187,591,58,0.6893883997960493,0.5171750784663618,1418,52,0.2725064856212397,0.02024461850851262,0.44061302681992337,0.5142857142857142,0.1503579952267303,0.7792207792207793,0.3285076235946404,0.6138828633405641,0.5701357466063348,0.3054526174280201,0.10053702875592377,0.053133385408418624,0.005416963302190637,0.00015629037022928704,0.00041187530943571156,0.00040661509966145935,0.000417144453912992,0.00041187863374962295,0.05428752035846244,0.48044897648936885,0.4877505997893494,0,4,1418,52,0.016571728273249285,0.12448722475779864,0.0020170822652619837,0.678563254265993,0.0,0.0,1,0.0,58,58,67,0.2192456750070108,2.4394117073863564,0.08769827000280433
1239,8,63,0.04761904761903679,270,0.006210436292015434,3,0.23969722455845247,4.487554356452317e-05,0.0009796975480441646,0.06538461538461539,0.5649691864845547,0.5821195860482944,925,703,400,174,0.4765733909573814,0.5225328439525856,967,75,0.2524911421577474,0.004313812832275643,0.29262452107279696,0.3476190476190476,0.07637231503579951,0.7878787878787878,0.36855074695826273,0.4349240780911064,0.7149321266968327,0.10782173634846472,0.014906437632769122,0.019471819452905846,0.005095367091798972,0.00015288056853128947,0.0009802183112194779,0.000947355239502293,0.0010120400013098822,0.0009798278041072096,0.0015851843146472676,0.19605192709244498,0.18792770866630157,2,5,967,75,0.0024586463433736664,0.04509999217010631,0.00035827832647973416,0.5740684471823663,0.0,0.0,1,0.0,45,46,41,0.45944903779960694,2.512628372540347,0.18377961511984278
977,9,59,0.904761904761898,279,0.0019282094189186185,1,0.18316045229417813,0.00014795917397284275,0.0025729772974585497,0.23134615384615384,0.5695284276413657,0.4306765915188682,733,465,718,51,0.18052569094820187,0.10961568319415266,351,4095,0.3673953261354256,0.039430814353729284,0.4827586206896552,0.5428571428571428,0.15155131264916466,0.5281385281385281,0.08362852302479594,0.6368763557483732,0.5158371040723981,0.06176207635040214,0.005790938268667152,0.009594992986049655,0.003314246123161655,0.0002136951158825762,0.0025917983427097527,0.002261194511021166,0.0028847614790469345,0.002577705124680792,0.002066594193225589,0.2092479959698857,0.24810112301336798,2,3,351,4095,0.021159583075000984,0.14129143249335352,0.003232177042401981,0.4618158499215868,0.0,0.0,1,0.0,42,42,46,0.49909970790368413,3.086869431840171,0.19963988316147366
5139,9,59,1.0,286,0.0008201524225935725,1,0.05102326885337818,3.128643348587268e-06,0.000142208692527518,0.3461538461538461,0.4899509945971705,0.38451252656887,3785,705,718,177,0.9703266724171389,0.3970269692200171,4091,3279,0.44975635894773847,0.022344745199900498,0.31337803320561947,0.319047619047619,0.0656324582338902,0.4294372294372294,0.33004774372401047,0.43579175704989165,0.7194570135746607,0.07259713973549281,0.007566622346813539,0.039995468650869934,0.04093004582823846,9.030160361031264e-06,0.00014504945225747112,0.0001121361338563528,0.00017228138576595945,0.00014292671068517486,0.05217846866338476,0.47274825793223874,0.49786902019580503,5,5,4091,3279,0.0024816230767079517,0.045331147122189816,0.0004391393847902112,0.5306053380723443,0.0,0.0,1,0.0,3,4,83,0.544106775671239,0.9002902850253003,0.2176427102684956
1252,8,29,0.3333333333333286,88,0.027898109293298178,3,0.6022801607326417,0.00015173455181550556,0.0020814335449796436,0.3269230769230769,0.5673228625337274,0.8384438482177079,935,705,123,217,0.11500883394017132,0.3710164383019786,224,3370,0.41887097164312115,0.005808424109544662,0.1285121328224777,0.27142857142857135,0.05608591885441527,0.4069264069264069,0.1252117665177884,0.32039045553145346,0.751131221719457,0.15297471309231425,0.027820551995285134,0.01462508328328062,0.00147490687336942,0.000490816395539705,0.002111982113967795,0.0017234841383931899,0.0024393845533013272,0.0020891442718314135,0.00010981909425376191,0.09794924735452269,0.06008370550413363,0,6,224,3370,0.0007116774700444123,0.022289065539584145,4.9508462025736105e-05,0.49744990334423395,0.0,0.0,1,0.0,35,35,60,0.3744707612745908,4.483448739484025,0.14978830450983632
